text,human_label,llm_label,disagreement,vader_compound,sarcasm,slang,hedging,mixed_sentiment,implicit_meaning
"At the university, Mr. Sanders highlighted items from his far-left agenda that resonate with students and young voters, including free tuition at public colleges and universities, raising the federal minimum wage to $15 per hour and criminal justice reforms to keep drug offenders out of jail and stop police brutality in black communities.",positive,negative,True,-0.6597,False,False,False,False,True
Hillary Clinton tells of shock over Harvey Weinstein allegations,negative,neutral,True,-0.3818,False,False,False,False,False
"Even though I’m conscious of the fact that Alexa is an algorithm, I will still say thank you after she feeds me the information I’ve requested.”",positive,positive,False,0.3612,False,False,True,False,True
"They hadn’t until after Quang finished, prompting an aide to ask him to give his answer again to allow translation, and when Obama was still getting Vietnamese in his ear, he laughed, shrugged.",neutral,neutral,False,0.5994,False,False,False,False,True
"Other Democratic presidential hopefuls like South Bend, Indiana Mayor Pete Buttigieg, say the release of Barr's summary underscores the point that the party can never fully rely on the famed prosecutor's mysterious report as the sole rationale for denying Trump a second term in office.",neutral,negative,True,0.4215,False,False,True,False,True
"The group, which repeatedly called Weldon a “racist,” then tried to throw his hat on the ground.",negative,negative,False,0.0,False,False,False,True,True
"I am proud to serve alongside him.""",positive,positive,False,0.4767,False,False,False,False,False
"Edwards used abuse and threats to force 39-year-old John Christopher Smith to work as a J&J Cafeteria cook from 2009 until 2014, authorities said.",negative,negative,False,-0.7906,False,False,False,False,True
It’s a Midwestern state (good for Sanders) and racially diverse (great for Clinton).,positive,neutral,True,0.7906,False,False,False,True,True
"Mark James Gassett, 37, of Fresno had been out looking for work Tuesday and was carrying free groceries home from Catholic Charities when he was shot and killed.",neutral,neutral,False,0.25,False,False,False,True,True
"The victory gives Sanders a total of three victories over the weekend to Clinton’s one, in the Louisiana primary.",positive,negative,True,0.0,False,False,False,True,True
Fox News’ Sean Hannity Calls for CNN’s Jeff Zucker to be Fired in Wake of Fake News Scandal,negative,negative,False,-0.8625,False,False,False,False,True
"Throughout his tenure, Trump has tried to repeal the ACA.",negative,negative,False,0.0,False,False,False,False,False
"But Kim has continued building nuclear warheads, as well as missiles that could carry them.",negative,negative,False,0.3919,False,False,False,False,True
"“The only people who are going to make the change — the history of America, whether it is the workers rights movement, the civil rights movement, the women’s rights movement, the gay rights movement — it is always from the bottom up not the top down,” he said.",positive,neutral,True,-0.1511,False,False,False,False,True
"“After I fired… I paused for a second, yelled at him to get on the ground again. [Brown] was still in the same state.",neutral,negative,True,0.0,False,False,False,True,True
"Trump responded on Twitter: ""3 Republicans and 48 Democrats let the American people down.",neutral,negative,True,0.0,False,False,False,False,True
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,negative,negative,False,-0.4973,True,False,True,False,True
It's possible that it was the most-watched among a certain segment of the population and Trump just missed that part.,negative,neutral,True,-0.0258,False,False,True,False,True
"“The president and his men were trying to work me the way a criminal brigade would operate,” McCabe writes in his book The Threat: How the FBI Protects America in the Age of Terror and Trump.",positive,negative,True,-0.836,False,False,False,False,True
But the task ahead of Johnson may have been the most daunting any president has ever faced.,neutral,negative,True,0.0,False,False,False,False,True
Cantor and fellow House leaders have agreed to close tax loopholes to generate revenue to reduce the $1.1 trillion annual deficit.,positive,neutral,True,-0.1531,False,False,False,False,True
"Christine Fair, an expert on South Asian military affairs at Georgetown University, and the only female author on the list, called it ""weird"" to see her 2006 book, ""Fortifying Pakistan,"" on Bin Laden's reading list.",negative,neutral,True,0.1531,False,False,False,False,True
"Obama said the two of them were “raised by families who didn’t have much in the way of money or material possessions but who had given us something far more valuable – their unconditional love, their unflinching sacrifice, and the chance to go places they had never imagined for themselves.”",positive,positive,False,0.9311,False,False,False,False,True
"Repeatedly asked whether President Donald Trump will re-insert himself into the race, Short noted that Trump already campaigned for Strange, Moore’s opponent during the primary.",neutral,neutral,False,-0.2023,False,False,False,False,True
"Or maybe Bee had made a joke, but a joke for the era of Trump.",negative,neutral,True,0.5267,True,False,False,False,True
"Though I am vehemently for abortion rights myself, it haunts me to know we may soon have a Supreme Court justice who believes Claire and others with intellectual disabilities don’t deserve to be asked whether or not they want to have an abortion.",positive,negative,True,0.8433,False,False,True,True,True
"President Trump has a clear mandate to choose our next Justice, and our network of grassroots activists will work very hard to ensure the Senate quickly moves to confirm Judge Gorsuch.",positive,positive,False,0.8004,False,False,False,False,False
"Story highlights Cedric L. Alexander: Trump's pardon of Arpaio makes sense given that they are politically aligned, and have been for some time The irony is that Trump ran as a law and order candidate, but his first pardon actually circumvents law and order, writes Alexander Cedric L. Alexander is a CNN law enforcement analyst and deputy mayor of Rochester, New York.",negative,neutral,True,0.5423,True,False,False,False,True
"There, he waited in silence.",neutral,neutral,False,0.0,False,False,False,False,False
"National polls indicated a slight enthusiasm advantage among likely voters for the president, with ABC saying 69 percent of likely Obama voters were very enthusiastic, compared with 62 percent of Romney’s, and Pew saying 39 percent of likely Obama voters support him strongly, compared with 33 percent of Romney’s.",positive,neutral,True,0.8915,False,False,False,False,True
China is the only country with the influence and power over Kim Jong-Un to stop the madness that could cause a conflagration of massive proportions.,negative,negative,False,-0.6249,False,False,False,False,True
Rick Perry has been indicted for abuse of power after carrying out a threat to veto funding for state public corruption prosecutors.,negative,negative,False,-0.8225,False,False,False,False,True
"Before this donation, Bloomberg had already donated a total of $1.5 billion to the university.",positive,neutral,True,0.0,False,False,False,False,True
Rose was pressed the most on policies boosted by Ocasio-Cortez and his response to comments made by Omar that were widely considered anti-Semitic.,negative,negative,False,0.4144,False,False,False,True,True
"Over his shoulder, a ruddy-faced man licked his teeth.",neutral,negative,True,0.0,False,False,False,False,False
"""We're fifth-generation Janesville, Wisconsin, natives,"" a visibly moved Ryan said to the crowd, which featured the atmosphere of a pep rally profoundly colored by hometown pride.",positive,negative,True,0.34,False,False,False,False,False
Britain's First Secretary of State Damian Green was forced to resign Wednesday because of a pornography scandal.,negative,negative,False,-0.8074,False,False,False,False,True
"They’re not going to use it for schools or hospitals or roads,” he said.",neutral,negative,True,0.0,False,False,False,False,False
"An attorney representing the family of Rich, who was 27 when he was killed last July, sent a cease and desist letter Friday to Rod Wheeler, a Fox News contributor and former Washington, D.C., homicide detective who was employed by the family and earlier this week told a Fox affiliate that he believed police were covering up details about the crime.",neutral,neutral,False,-0.6597,False,False,True,False,True
She’s a disaster because of arrogance.”,negative,negative,False,-0.6249,False,False,False,False,False
"In Ohio, recent polls have shown everything from a 7-point Clinton lead to a 5-point Trump advantage, but four of the five newest surveys give the edge to Trump.",neutral,neutral,False,0.128,False,False,False,False,True
"Then again, he’s not the only candidate going through hard times these days.",neutral,neutral,False,-0.1027,False,False,False,True,True
"With time, Jane grew into an all-women network with dozens of members, ranging from students to housewives.",positive,neutral,True,0.0,False,False,False,False,False
But in an NBC News analysis on what Biden is weighing ahead of what would be his last shot at residing at 1600 Pennsylvania Avenue reveals the very things that have made him endearing to many Americans could keep him out of the 2020 race.,neutral,negative,True,0.0,False,False,False,False,True
And Sanders had told reporters last week that the president “clearly has confidence in him or he would not be attorney general.”,positive,neutral,True,0.5106,False,False,False,False,True
"One of the key findings of the poll is that although both Trump and Clinton are dominating among their own parties' respective bases, Trump voters are more enthusiastic to turn out than hers are: Story of CNN poll showing Trump taking the lead: His voters are more enthusiastic.",positive,negative,True,0.883,False,False,False,True,True
"Shark, whose real name is Amy Louise Billings, is a prominent singer-songwriter in Australia best known for her songs Adore and I Said Hi.",positive,neutral,True,0.8779,False,False,False,False,False
"However, as Gowdy noted, the State Department has acknowledged that its recordkeeping practices were lax and that emails were not automatically archived during Clinton’s tenure.",negative,neutral,True,0.0,False,False,False,False,True
"Outside a leafy apartment complex in west Beijing, however, more than a dozen men have been holding an around-the-clock vigil with a different purpose altogether: keeping visitors and journalists away from the home Liu shared with his widow, Liu Xia.",neutral,negative,True,0.34,False,False,False,False,True
Both Buck and Johnson are former business executives.,neutral,neutral,False,0.0,False,False,False,False,False
"Alongside other strong women on President Donald J. Trump’s team, like director of strategic communications, Hope Hicks, or counselor to the president, KellyAnne Conway, Walsh is instrumental in making the White House function.",positive,neutral,True,0.8271,False,False,False,False,False
He also faced tough questions from lawmakers on both sides of the aisle about why President Barack Obama and his administration were not more forceful about warning the American people about Russian efforts ahead of Election Day.,negative,negative,False,-0.4877,False,False,False,False,True
"""Either he’s so tone-deaf that he doesn’t understand why saying this is bad for him, or this is a considered political strategy.",negative,negative,False,-0.5423,True,False,False,False,True
"Sanders' support from Cruz, a high-profile Latina, could help him with minority communities.",positive,positive,False,0.6597,False,False,False,False,True
"""The special master has concluded her review,"" retired Judge Barbara Jones said in her latest court filing.",neutral,neutral,False,0.4019,False,False,False,False,False
"Clinton's campaign blasted out a Politico story titled ""Sanders says he'd be better for race relations than Obama.""",neutral,negative,True,0.4404,False,False,False,False,True
"We're going to work together to try to get people into affordable coverage,"" she said on ""Fox News Sunday.""",positive,neutral,True,0.0,False,False,False,False,False
"“We have begun presentation of evidence to the grand jury and will continue to do so in a fair, full and impartial manner,” Mr. McCulloch said Thursday in a statement.",neutral,neutral,False,0.6771,False,False,False,False,False
"Then shots rang out, and Ms. Najjar fell to the ground.",neutral,negative,True,0.0,False,False,False,False,False
"Rail MONEY TRAIN: The FRA is offering more than $244 million in grant funding for capital rail projects under its Consolidated Rail Infrastructure and Safety Improvements program, the agency announced Wednesday.",positive,neutral,True,0.765,False,False,False,False,False
"In Arizona, home to some of the most fervent opposition to illegal immigration in the country, even some political leaders had his back.",positive,positive,False,-0.2975,False,False,False,False,True
"""You would've thought it was Christmas,"" he said.",neutral,neutral,False,0.0,False,False,False,False,False
"For months, Christie faced accusations the lanes were blocked in retaliation over Mayor Mark Sokolich's refusal to endorse him for re-election last November.",negative,neutral,True,-0.2732,False,False,False,False,True
"“If he loses, he says, ‘big bad Hillary is winning.’",neutral,negative,True,-0.7003,True,False,False,False,True
Elizabeth Esty announced on Monday she will not seek re-election amid mounting criticism for her delay in firing a chief of staff accused of sexually harassing a woman in her office.,negative,negative,False,-0.9062,False,False,False,True,True
Chris Christie rocketed to national stardom as brazenly incautious.,negative,negative,False,0.0,False,False,False,False,False
But many White House officials were already souring on Mr. Kelly even before his handling of the abuse allegations against Mr. Porter gave his internal critics new ammunition against him.,negative,negative,False,-0.8625,False,False,True,False,True
"When he was asked recently on “The Daily Show” about why he agreed to go on Fox News, Sanders said: “It is important to distinguish Fox News from the many millions of people who watch Fox News.”",positive,neutral,True,0.4404,False,False,False,False,True
"In a nod to McConnell on Tuesday, Trump endorsed McConnell’s preferred candidate in the Republican Alabama Senate primary: Sen.",neutral,neutral,False,0.25,False,False,False,False,False
What has truly upset the cycle is that Republicans have finally learned -- after a couple of failed extortion attempts -- that President Obama and Democrats are serious about de-weaponizing the debt limit.,positive,negative,True,-0.7003,False,False,False,False,True
"“When Brower claims Mrs. Trump has no understanding of what it means to be first lady, she intentionally ignores all the effort the first lady has put into fulfilling the traditional responsibilities of the role,” Grisham wrote, citing the state dinner Melania Trump organized in April for French President Emmanuel Macron, her various holiday events at the White House and other official duties.",negative,negative,False,-0.1531,False,False,False,False,True
This moment right here — with this look on Tapper's face — perfectly encapsulates the exchange.,neutral,negative,True,0.6369,False,False,False,False,False
Many have attributed the change to a poor campaign start by Macron and the incident at the Whirlpool factory in his home town of Amiens.,negative,neutral,True,-0.4767,False,False,False,True,True
"Police began conducting surveillance on Campus' home, where he was taken into custody, police said.",negative,negative,False,0.0,False,False,False,False,True
Exclusive: Why One of Vladimir Putin's Biggest Critics Is Banned From U.S.,neutral,negative,True,-0.5719,False,False,False,False,True
Vice President Mike Pence said Sunday that the federal judge who halted President Trump’s temporary immigration ban “made the wrong decision” and vowed to use “all legal means at our disposal” to protect Americans.,negative,negative,False,-0.5574,False,False,False,False,False
| Getty Warren delivers strong fundraising haul BOSTON — Sen.,positive,positive,False,0.5106,False,False,False,False,False
"“But I think he would have won, because I think ultimately there would have been a, you know, a clear choice between, you know, a guy who had a very good first term and an untested governor.”",positive,negative,True,0.8588,False,False,True,False,True
"Schneiderman also asked her to ""call him Master, and he’d slap me until I did.""",negative,negative,False,0.1531,True,False,False,False,True
Clinton’s actions have been reckless and have directly led to the loss of American lives.,negative,negative,False,-0.6124,False,False,False,False,False
Jay Inslee Says Washington State Is A 'Template For Success' For The U.S. Enlarge this image toggle caption Karen Ducey/Getty Images Karen Ducey/Getty Images Washington Gov.,positive,neutral,True,0.5719,False,False,False,False,False
"This happened even though the most personal attacks came from Trump, not Cruz.",negative,negative,False,-0.4902,False,False,False,True,True
"There would also be whatever bill Ryan puts forward, as well as a bill by Reps.",neutral,neutral,False,0.2732,False,False,False,False,False
He gave his life trying to expose the world to the suffering of the Syrian people.,positive,negative,True,-0.5719,False,False,False,False,True
White House confident Mick Mulvaney trumps outgoing director's pick to head CFPB,neutral,negative,True,0.6597,False,False,False,False,False
Whitney said Castanenda lived in a Garden Grove apartment building where he stabbed two men during some kind of confrontation.,negative,neutral,True,-0.6697,False,False,False,False,True
"The allegations against Mr. Boren, 77, who was once the state’s governor and a United States senator, surfaced in November, and the university sought the help of the Atlanta law firm Jones Day to investigate, a university spokeswoman said.",negative,neutral,True,0.6705,False,False,False,False,False
"Every successful move, every stratagem that took Cruz – who dropped out of the presidential race on Tuesday night after a disastrous loss in Indiana – from an ambitious Ivy Leaguer to one of the final three Republican candidates for the presidency prevented him from attaining the ultimate goal.",negative,negative,False,0.2023,False,False,False,False,True
A bystander’s video begins with Scott and Slager both standing and locked in some type of struggle.,negative,neutral,True,-0.3182,False,False,False,False,False
"""As I have said before, I did not come to Washington to hurt people,"" Capito said Tuesday in a statement.",positive,neutral,True,-0.5267,False,False,False,False,False
"“I just had a very, very brief moment so I made it clear that the students that I teach ... are dedicated and focused,” Manning said in an interview.",positive,neutral,True,0.6808,False,False,False,False,False
"Sanders, a Democratic presidential candidate who has been feuding with Wasserman Schultz and the DNC, told CNN he favors Tim Canova in Florida’s 23rd congressional district.",negative,negative,False,-0.1531,False,False,False,False,False
"Besides serving as a place of worship and community center, the mosque in Bloomington, just south of Minneapolis, has a fitness center, gymnasiums for boys and girls, a football field and adjoins a city park, Omar said.",positive,neutral,True,0.5106,False,False,False,False,False
"""These are young people who are dedicating their lives,"" Cuomo said.",positive,positive,False,0.0,False,False,False,False,False
"“The president wants to go out there and crow about the fact that the economy is growing -- barely,” Boehner said.",negative,negative,False,0.1779,True,False,False,False,True
"Loughry is under federal indictment and named in eight impeachment articles, including allegations he lied about taking home a $42,000 antique desk and a $32,000 suede leather couch.",negative,negative,False,-0.3818,False,False,False,False,True
"Her aim is to look steady and attentive when Mr. Trump is speaking, and to avoid visibly or audibly reacting to him too much.",neutral,negative,True,-0.296,False,False,True,False,True
Donald Trump: John McCain ‘should not be talking about the success or failure of a mission’,neutral,negative,True,0.1027,False,False,False,False,True
"Asked to respond to Mr. Comey’s assertion that the president had lied, she said, “I can definitively say the president is not a liar, and frankly I’m insulted by that question.”",negative,negative,False,-0.4936,True,False,False,False,False
"Obama's waiver or suspension of provisions of his four-year-old health care law have increased suspicions among Republicans, and Sessions' analysis highlighted the president's State of the Union comments that he might act unilaterally on some issues if Congress balks.",neutral,neutral,False,0.4215,False,False,True,False,True
Here is Rubio’s full statement: “I’m encouraged by reports of an agreement between business groups and unions on the issue of guest workers.,neutral,positive,True,0.6908,False,False,False,False,True
"In a city—Chicago, no less, that favorite race-coded target of Trump’s dishonest rhetoric—where the cops can’t or won’t do their job, it falls to Willis to keep the peace, with increasingly small reservations and increasingly large guns.",negative,negative,False,0.0828,False,False,False,True,True
"His lawyer, Thomas Breen, told the court Friday that at the time he was ""unsophisticated, he was naïve, and he was a fool.”",negative,negative,False,-0.296,False,False,True,False,True
"The senator himself addressed the state convention there Saturday morning, holding up a copy of the slate of delegates supporting him and urging the crowd to back that slate in order to stop Trump.",positive,neutral,True,0.1779,False,False,False,False,False
Judge criticized in Brock Turner sex assault case faces recall vote,negative,neutral,True,-0.743,False,False,False,False,True
"Cedeno faces manslaughter, assault and criminal possession of a weapon charges.",negative,negative,False,-0.8885,False,False,False,False,False
Wyden shot back: “You made your point that you think Mr. Comey is engaging in innuendo.,negative,neutral,True,0.34,False,False,False,False,False
"With heavy hearts, the Biden family—and their closest friends and loved ones—laid to rest Beau Biden, 46, on Saturday.",positive,negative,True,0.9062,False,False,False,False,False
"The libertarian-leaning Republican, who is considering a 2016 presidential bid, said President Obama’s decline in popularity would help Republicans at the polls and blasted Mr. Obama’s foreign policy leadership.",negative,negative,False,0.7003,False,False,False,False,True
Jeff Sessions told Fox Business Network Ryan’s stance is a “big mistake.”,negative,negative,False,0.0,False,False,False,False,False
"But with AI especially, I am really optimistic,"" Mr Zuckerberg replied.",neutral,positive,True,0.5251,False,False,False,False,False
"Of The 9 Countries On Pompeo's Visit, 5 Don't Have A Senate-Confirmed U.S. Ambassador NPR's Ari Shapiro speaks with Richard LeBaron, a former ambassador to Kuwait, about how the diplomatic vacancies in the region affect a mission such as Secretary of State Mike Pompeo's this week.",neutral,neutral,False,0.0,False,False,False,False,True
"A constant target for DDoS attacks, his blog has been censored in Venezuela, where Maduro’s henchmen have blocked access to websites, shut down certain newspapers and closed TV stations.",negative,negative,False,-0.5423,False,False,False,False,True
"In the short time she was on the drug, they say, she had fewer seizures and her behavior improved dramatically.",positive,negative,True,0.4767,False,False,False,False,True
"‘Corbyn’s not in it for the money, and has always voted with his conscience’ Lizzie Kroon, 25, PA at a building supplies firm, Northampton Facebook Twitter Pinterest Lizzie Kroon.",positive,neutral,True,0.0,False,False,False,False,False
"The bottom line: While McConnell and his allies aim to reduce Bannon's influence with Trump and with base Republican voters, he has no intention of backing down.",neutral,negative,True,-0.2732,False,False,False,False,True
"Harris, Sanders and Warren all propose “Medicare for All,” including for people here illegally.",neutral,neutral,False,0.0,False,False,False,False,False
"During a speech delivered at the Republican National Convention last month, Smith said, “I blame Hillary Clinton personally for the death of my son.”",neutral,negative,True,-0.743,False,False,False,True,True
"Nixon was also a regular churchgoer, faithfully attending Tuesday Bible studies and Sunday Mass with her family.",positive,neutral,True,0.4215,False,False,False,False,False
"There was no indication on Wednesday why Mr. Todashev — who, like the Tsarnaevs, was an ethnic Chechen — would have implicated himself and Mr. Tsarnaev in the murders.",negative,neutral,True,-0.5719,False,False,True,False,True
"""We wanted to be a part of history,"" Traynor said.",positive,neutral,True,0.0,False,False,False,False,False
"Just hours after McCrory's signature, the ACLU of North Carolina and a coalition of other groups filed a lawsuit against the bill, charging that it violates the Constitution's equal protection clause and the Voting Rights Act of 1965.",negative,neutral,True,-0.6369,False,False,False,False,True
3) He's basically not ideological Trump rose to the Republican nomination by pitching himself as a hardline conservative.,neutral,negative,True,0.0,False,False,False,True,True
"He went on: “Here’s what I told him, I said, ‘Mr. President, you’re much better off if you sometimes step right and you sometimes step left.",neutral,negative,True,0.4404,False,False,False,False,False
"In a 20-minute, stage-pacing speech, Mr. Walker wowed the heartland crowd.",positive,positive,False,0.5574,False,False,False,False,False
